dorsal abaxial
scanty bare
spare bare
miserable measly
paltry measly
energy-storing constructive-metabolic
katabolic catabolic
energy-releasing destructive-metabolic
stigmatic anastigmatic
catabatic katabatic
anal_retentive anal
analog analogue
linear analogue
analytical analytic
synthetical synthetic
uninflected analytic
polysynthetic agglutinative
analytical analytic
synthetical synthetic
provoked aggravated
enraged angered
furious angered
infuriated angered
maddened angered
irascible choleric
mad huffy
sore huffy
incensed indignant
outraged indignant
umbrageous indignant
ireful irate
smouldering smoldering
wroth wrathful
wrothful wrathful
bitter acrimonious
animate sentient
insensate insentient
nonliving inanimate
non-living inanimate
alive animated
spirited enlivened
lively full_of_life
vital full_of_life
revived reanimated
anon. anonymous
unidentified nameless
unknown nameless
unnamed nameless
binominal binomial
postmortal postmortem
prior anterior
prevenient anticipatory
pre-existent preexistent
preexisting preexistent
pre-existing preexistent
consequent attendant
accompanying attendant
concomitant attendant
incidental attendant
ensuant attendant
resultant attendant
sequent attendant
ulterior later
posterior later
subaquatic semiaquatic
subaquatic subaqueous
submerged subaqueous
submersed subaqueous
underwater subaqueous
semiaquatic amphibiotic
above-named above-mentioned
prefatorial introductory
prefatory introductory
preparative preparatory
propaedeutic preparatory
old previous
consecutive back-to-back
undermentioned following
next following
unexampled new
antenatal prenatal
antepartum prenatal
postpartum postnatal
a.m. ante_meridiem
p.m. post_meridiem
hind back
hinder back
appetising appetizing
savory mouth-watering
savoury mouth-watering
unappetising unappetizing
standoffish offish
right proper
wrong improper
cod collect
collectable collectible
payable collectible
overdue delinquent
apt apposite
pertinent apposite
out_of_place inapposite
amphiprostyle amphiprostylar
amphistylar amphiprostylar
porticoed amphiprostylar
pseudoprostyle prostyle
pseudoperipteral peristylar
columnar columniform
columnlike columniform
uncolumned noncolumned
arboreous arboreal
tree-living arboreal
sandy arenaceous
sandlike arenaceous
clayey argillaceous
weaponed equipped
militarised militarized
defenceless defenseless
armoured armored
armour-clad armor-clad
armor-plated armor-clad
armour-plated armor-clad
steel-plated armor-clad
lightly_armoured lightly_armored
mailed mail-clad
unarmoured unarmored
barbellate barbed
briary barbed
briery barbed
bristled barbed
bristly barbed
burred barbed
burry barbed
prickly barbed
setose barbed
setaceous barbed
spiny barbed
thorny barbed
taloned clawed
spineless thornless
armoured armored
scaley scaly
scaled scaly
unarmoured unarmored
cunning crafty
dodgy crafty
foxy crafty
guileful crafty
knavish crafty
slick crafty
sly crafty
tricksy crafty
tricky crafty
wily crafty
precious cute
scheming designing
facile eloquent
fluent eloquent
silver eloquent
silver-tongued eloquent
smooth-spoken eloquent
unarticulate inarticulate
voiceless aphonic
mute dumb
silent dumb
tongue-tied incoherent
tongueless mute
unspoken mute
wordless mute
dumb speechless
walk-on nonspeaking
articulate articulated
disgraced discredited
dishonored discredited
shamed discredited
humiliated embarrassed
mortified embarrassed
hangdog guilty
shamefaced guilty
shamed guilty
sheepish shamefaced
barefaced audacious
bodacious audacious
bald-faced audacious
brassy audacious
brazen audacious
brazen-faced audacious
insolent audacious
unblushing shameless
unembarrassed unabashed
self-asserting assertive
self-assertive assertive
forceful emphatic
self-effacing reticent
retiring reticent
associatory associative
committed attached
betrothed bespoken
uncommitted unattached
unpledged unengaged
unpromised unengaged
pasted glued
loose unaffixed
stalkless sessile
stalked pedunculate
unattached free-swimming
separate freestanding
bondable bindable
on_one's_guard on_guard
upon_one's_guard on_guard
on_your_guard on_guard
absorbed captive
engrossed captive
enwrapped captive
intent captive
wrapped captive
heedful advertent
absentminded absent
abstracted absent
scatty absent
distrait distracted
moony dreamy
woolgathering dreamy
oscitant drowsy
yawning drowsy
oblivious forgetful
captivating bewitching
enchanting bewitching
enthralling bewitching
entrancing bewitching
fascinating bewitching
magnetic charismatic
cute cunning
piquant engaging
taking fetching
winning fetching
showy glossy
mesmeric hypnotic
mesmerizing hypnotic
spellbinding hypnotic
plain homely
unpresentable unprepossessing
catchy attention-getting
due ascribable
imputable ascribable
referable ascribable
unascribable unattributable
prenominal attributive
enceinte big
expectant big
gravid big
great big
large big
heavy big
with_child big
hearable audible
unhearable inaudible
voiceless breathed
unsounded silent
ultrasonic supersonic
transonic sonic
hopeful bright
promising bright
rosy fortunate
unfortunate inauspicious
favorable golden
favourable golden
lucky golden
prosperous golden
inauspicious ill
ominous ill
authorised authorized
commissioned accredited
licensed accredited
licenced accredited
sanctioned approved
canonised canonized
glorified canonized
sceptered empowered
sceptred empowered
unauthorised unauthorized
unlicensed unaccredited
unlicenced unaccredited
homoecious autoecious
autogenic autogenous
self-produced self-generated
heterogeneous heterogenous
self-loading autoloading
semiautomatic autoloading
machine-controlled automated
machine-driven automated
self-activating self-acting
self-moving self-acting
self-regulating self-acting
non-automatic hand-operated
getable gettable
obtainable gettable
procurable gettable
for_sale purchasable
unobtainable inaccessible
unprocurable inaccessible
untouchable inaccessible
up astir
sleepless insomniac
watchful insomniac
wide-awake unsleeping
wakeful waking
hibernating dormant
torpid dormant
drowsing drowsy
dozy drowsy
sound_asleep fast_asleep
sleepy-eyed sleepy
sleepyheaded sleepy
slumbery slumberous
slumbrous slumberous
somnolent slumberous
hemostatic styptic
cognizant aware
cognisant aware
alive alert
awake alert
incognizant unaware
unmindful oblivious
dismaying appalling
frightful atrocious
horrifying atrocious
horrible atrocious
ugly atrocious
dire awful
direful awful
dread awful
dreaded awful
dreadful awful
fearful awful
fearsome awful
frightening awful
horrendous awful
horrific awful
terrible awful
forbidding baleful
menacing baleful
minacious baleful
minatory baleful
ominous baleful
sinister baleful
threatening baleful
hair-raising bloodcurdling
nightmarish bloodcurdling
scarey chilling
scary chilling
shivery chilling
shuddery chilling
creepy-crawly creepy
redoubtable formidable
unnerving formidable
grim ghastly
grisly ghastly
gruesome ghastly
macabre ghastly
sick ghastly
terrifying terrific
soothing assuasive
consolatory comforting
consoling comforting
worrisome unreassuring
hindermost backmost
hindmost backmost
rearmost backmost
rearward rear
advanced advance
in_advance advance
frontmost foremost
head-on frontal
directional directing
directive directing
guiding directing
hardback hardbacked
hardbound hardbacked
hardcover hardbacked
razor-backed razorback
sweptback backswept
retroflex cacuminal
reversed converse
transposed converse
reverse inverse
reverse rearward
self-referent reflexive
retrograde retral
retroflexed retroflex
reversive returning
gardant guardant
full-face guardant
headlong headfirst
blate bashful
cheeky brash
nervy brash
self-assertive bumptious
impertinent fresh
impudent fresh
overbold fresh
smart fresh
saucy fresh
sassy fresh
wise fresh
assuming assumptive
presumptuous assumptive
barrelled barreled
unbarrelled unbarreled
duck-billed duckbill
short-billed short-beaked
bedded stratified
foliated foliate
foliaceous foliate
laminal laminar
superimposed layered
ferny ferned
ferny fernlike
sedgelike rushlike
bald-headed bald
bald-pated bald
smooth-faced beardless
haired hairy
hirsute hairy
hoary canescent
coarse-furred coarse-haired
comose comate
comal comate
curly-coated curly-haired
dark-coated dark-haired
pubescent downy
puberulent downy
sericeous downy
furry furred
fuzzy fuzzed
glossy-coated glossy-haired
glossy-furred glossy-haired
woolly lanate
pilose pilous
pilary pilous
tomentous tomentose
velvety-haired velvety-furred
wiry-coated wire-haired
woolly wooly
wooly-haired wooly
woolly-haired wooly
awny awned
supporting load-bearing
bonnie bonny
comely bonny
fair bonny
sightly bonny
good-looking fine-looking
better-looking fine-looking
handsome fine-looking
well-favored fine-looking
well-favoured fine-looking
resplendent glorious
splendid glorious
splendiferous glorious
monstrous grotesque
repulsive hideous
ill-favoured ill-favored
unpicturesque unlovely
great_bellied big-bellied
flat-bellied bellyless
belt-like beltlike
beltless unbelted
baneful baleful
malevolent malefic
malign malefic
evil malefic
spiteful despiteful
vindictive despiteful
catty bitchy
cattish bitchy
venomous poisonous
vicious poisonous
benignant benign
prizewinning champion
top-quality high-grade
top-grade high-grade
foremost first
world-class first
Sunday-go-to-meeting go-to-meeting
optimal optimum
unexceeded unexcelled
unsurpassed unexcelled
last-place last
lowest last
pessimum pessimal
healthier fitter
worsened worse
ameliorative ameliorating
amelioratory ameliorating
meliorative ameliorating
bifacial biface
two-faced janus-faced
round-faced moon-faced
one-sided unilateral
many-sided multilateral
two-sided bilateral
two-part bipartite
two-way bipartite
four-sided quadrilateral
four-party quadripartite
triangular trilateral
three-sided trilateral
three-party tripartite
three-way tripartite
biaural binaural
stereo stereophonic
two-channel stereophonic
monophonic mono
single-channel mono
binuclear binucleate
binucleated binucleate
mononucleate mononuclear
trinuclear trinucleate
trinucleated trinucleate
biped bipedal
two-footed bipedal
quadruped quadrupedal
four-footed quadrupedal
Afro-American african-american
coloured colored
dark colored
dark-skinned colored
non-white colored
Caucasoid caucasian
blonde blond
light-haired blond
platinum-blonde ash-blonde
towheaded ash-blonde
fairish fair
sandy flaxen
brunette brunet
suntanned bronzed
tanned bronzed
browned brown
black-haired dark-haired
brown-haired dark-haired
dusky dark-skinned
swart dark-skinned
swarthy dark-skinned
pimpled acned
pimply acned
pustulate acned
blebby blebbed
scarred marred
pockmarked pocked
unmarred unblemished
unmutilated unblemished
unstained stainless
unsullied stainless
untainted stainless
untarnished stainless
gory bloodstained
bloody-minded bloodthirsty
sanguinary bloodthirsty
red crimson
violent crimson
murderous homicidal
sanguinary gory
sanguineous gory
slaughterous gory
butcherly gory
unbloody nonviolent
brave audacious
dauntless audacious
fearless audacious
hardy audacious
intrepid audacious
unfearing audacious
temerarious daredevil
heady foolhardy
rash foolhardy
reckless foolhardy
heroical heroic
vaulting overreaching
timorous fearful
trepid fearful
mousey mousy
enchained chained
shackled fettered
rolled furled
tied trussed
unfettered unchained
unshackled unchained
untied unchained
tied laced
untied unlaced
fastened tied
unfastened untied
foul afoul
fouled afoul
intermeshed enmeshed
snarled knotty
snarly knotty
thrown_and_twisted thrown
loosened disentangled
unsnarled disentangled
paperbacked paperback
deckle-edged deckled
featheredged deckled
low-class lower-class
wage-earning propertyless
working-class propertyless
blue-collar propertyless
conservative bourgeois
materialistic bourgeois
property-owning propertied
brachycranial brachycephalic
brachycranic brachycephalic
roundheaded broad-headed
short-headed broad-headed
dolichocranial dolichocephalic
dolichocranic dolichocephalic
courageous brave
heroic desperate
gamy game
gamey game
gritty game
mettlesome game
spirited game
spunky game
stouthearted stalwart
valorous valiant
fearful cowardly
chickenhearted chicken
lily-livered chicken
white-livered chicken
yellow chicken
yellow-bellied chicken
recreant craven
dastardly dastard
fainthearted faint
timid faint
faint-hearted faint
poor-spirited pusillanimous
unmanly pusillanimous
plucky gutsy
suckled nursed
eupneic breathing
eupnoeic breathing
dyspneic breathless
dyspnoeic breathless
dyspneal breathless
dyspnoeal breathless
suffocating smothering
suffocative smothering
pursy blown
short-winded blown
winded blown
crystalised crystallized
uncrystallized amorphous
uncrystallised amorphous
inflamed ablaze
reddened ablaze
floodlighted floodlit
lighted illuminated
lit illuminated
well-lighted illuminated
candent incandescent
sunstruck sunlit
Acherontic acheronian
Stygian acheronian
pitch-black black
pitch-dark black
subdued dim
twilight dusky
twilit dusky
gloomy glooming
gloomful glooming
sulky glooming
unilluminated lightless
unlighted lightless
unlit lightless
tenebrific tenebrous
tenebrious tenebrous
mirky murky
shadowed shady
shadowy shady
umbrageous shady
crosshatched hatched
moony moonlit
gleaming agleam
nitid agleam
lambent aglow
lucent aglow
luminous aglow
coruscant aglitter
fulgid aglitter
glinting aglitter
glistering aglitter
glittering aglitter
glittery aglitter
scintillant aglitter
scintillating aglitter
sparkly aglitter
beadlike beady
buttony beady
buttonlike beady
beamy beaming
effulgent beaming
radiant beaming
refulgent beaming
blinding blazing
dazzling blazing
fulgent blazing
glaring blazing
glary blazing
glossy glistening
lustrous glistening
sheeny glistening
shiny glistening
shining glistening
nacreous iridescent
opalescent iridescent
opaline iridescent
pearlescent iridescent
sleek satiny
silken satiny
silky satiny
silklike satiny
slick satiny
silvern silver
silvery silver
mat flat
matt flat
matte flat
matted flat
lacklustre lackluster
lusterless lackluster
lustreless lackluster
subdued soft
dim dimmed
bright undimmed
discriminatory prejudiced
antiblack racist
anti-Semite racist
impartial unprejudiced
colour-blind color-blind
nonracist color-blind
large-minded broad
liberal broad
tolerant broad
latitudinarian free-thinking
undogmatic free-thinking
undogmatical free-thinking
narrow narrow-minded
closed-minded close-minded
dogmatical dogmatic
intolerant illiberal
opinionative opinionated
self-opinionated opinionated
small-minded petty
unkept broken
kept unbroken
dotted dashed
interrupted fitful
off-and-on fitful
brotherlike brotherly
fraternal brotherly
sisterlike sisterly
sororal sisterly
biovular fraternal
monovular identical
inhumed buried
interred buried
laboring drudging
labouring drudging
toiling drudging
occupied engaged
bone-lazy bone-idle
indolent faineant
lazy faineant
otiose faineant
slothful faineant
work-shy faineant
boney bony
deboned boned
fastened buttoned
botonnee botonee
unfastened unbuttoned
capitalist capitalistic
free-enterprise competitive
private-enterprise competitive
laissez-faire individualistic
socialist socialistic
collectivistic collectivist
collectivized collectivist
collectivised collectivist
state-controlled collectivist
cacophonic cacophonous
squawky cackly
guttural croaky
gravelly grating
rasping grating
raspy grating
rough grating
scratchy grating
hoarse gruff
husky gruff
jangly jangling
strident raucous
ripping rending
splitting rending
euphonous euphonious
silvery silvern
estimable computable
denumerable countable
enumerable countable
numerable countable
infinite countless
innumerable countless
innumerous countless
multitudinous countless
myriad countless
numberless countless
uncounted countless
unnumberable countless
unnumbered countless
unnumerable countless
inestimable incomputable
immeasurable incomputable
quiet placid
still placid
tranquil placid
smooth placid
unruffled placid
furious angry
raging angry
tempestuous angry
wild angry
billowing billowy
surging billowy
blusterous blustering
blustery blustering
fierce boisterous
rough boisterous
breezy blowy
windy blowy
puffy gusty
surefooted confident
sure-footed confident
tended_to attended
unattended neglected
sure certain
painstaking conscientious
scrupulous conscientious
elaborate detailed
elaborated detailed
narrow minute
too-careful overcareful
cursory casual
passing casual
perfunctory casual
slapdash haphazard
slipshod haphazard
sloppy haphazard
reckless heedless
offhanded offhand
meat-eating flesh-eating
zoophagous flesh-eating
predaceous predacious
anthophilous anthophagous
fruit-eating carpophagous
phytophagic plant-eating
phytophagous plant-eating
phytophilous plant-eating
saprozoic saprophagous
pistillate carpellate
acarpellous acarpelous
clincher-built clinker-built
lap-strake clinker-built
lap-straked clinker-built
lap-streak clinker-built
lap-streaked clinker-built
carven carved
etched engraved
graven engraved
incised engraved
inscribed engraved
sculpted graven
sculptured graven
basal radical
caudated caudate
bobtailed bobtail
taillike caudal
acaudal acaudate
tailless anurous
cauline caulescent
stemmed caulescent
stemless acaulescent
actuating activating
anorexigenic anorectic
contributing conducive
contributive conducive
contributory conducive
tributary conducive
inducive inductive
motive motivative
motivating motivative
motor motive
responsible_for responsible
sternutative sternutatory
noncausal noncausative
cagy cagey
chary cagey
restrained guarded
impulsive hotheaded
impetuous hotheaded
madcap hotheaded
tearaway hotheaded
brainish hotheaded
cancellated cancellate
cancellous cancellate
faveolate alveolate
cavitied alveolate
honeycombed alveolate
pitted alveolate
acellular noncellular
one-celled single-celled
compartmentalized compartmental
compartmentalised compartmental
poriferous porous
halfway center
middle center
midway center
centrical centric
medial median
midmost middlemost
marginal fringy
skirting encircling
receptive centripetal
sensory centripetal
corticipetal corticoafferent
motorial efferent
motor centrifugal
corticofugal corticoefferent
corticifugal corticoefferent
centralising centralizing
unifying centripetal
integrative consolidative
decentralising decentralizing
sure indisputable
sure certain
positive convinced
confident convinced
unsure uncertain
incertain uncertain
dubious doubtful
overconfident cocksure
positive cocksure
self-confident self-assured
shy diffident
timid diffident
unsure diffident
sure certain
destined bound
fated doomed
predestinate foreordained
predestined foreordained
fluky chancy
flukey chancy
iffy chancy
fateful fatal
inescapable ineluctable
unavoidable ineluctable
avoidable evitable
avertible evitable
avertable evitable
changeful changeable
fickle erratic
mercurial erratic
quicksilver erratic
unstable fluid
mobile fluid
kaleidoscopical kaleidoscopic
unalterable changeless
frozen fixed
carved_in_stone set_in_stone
stable static
unchanging static
transformable convertible
translatable convertible
transmutable convertible
untransmutable inconvertible
inalterable unalterable
last final
well-balanced well-adjusted
unadjusted unadapted
edited emended
unchanged unaltered
timeless dateless
unmoved in-situ
denaturized denatured
denaturised denatured
ionised ionized
nonionised nonionized
unionized nonionized
unionised nonionized
nonionic nonionized
changeable mutable
changeless immutable
symptomatic diagnostic
typical distinctive
live hot
electronegative negative
negatively_charged negative
electropositive positive
positively_charged positive
electroneutral neutral
drained dead
benevolent beneficent
eleemosynary beneficent
philanthropic beneficent
hired chartered
leased chartered
ownerless unowned
continent celibate
vestal pure
virgin pure
virginal pure
virtuous pure
light easy
loose easy
promiscuous easy
sluttish easy
wanton easy
glad beaming
smiling beamish
twinkly beamish
blithesome blithe
lighthearted blithe
lightsome blithe
light-hearted blithe
chirpy buoyant
perky buoyant
gay cheery
sunny cheery
debonair chipper
debonaire chipper
jaunty chipper
cheerless depressing
uncheerful depressing
dark blue
dingy blue
disconsolate blue
dismal blue
gloomy blue
grim blue
sorry blue
drab blue
drear blue
dreary blue
sombre somber
melancholy somber
granular chondritic
anorthic triclinic
homochromatic monochromatic
brownish-yellow amber
yellow-brown amber
gilded aureate
gilt aureate
gold aureate
golden aureate
cerulean azure
sky-blue azure
bright_blue azure
bluish blue
blueish blue
blue-green bluish_green
cyan bluish_green
teal bluish_green
bluish-lilac blue-lilac
bluish-purple blue-purple
bluish-violet blue-violet
rosy blushful
raspberry-red bright-red
bronzy bronze
brownish brown
chocolate-brown brown
dark-brown brown
brownish-green brown-green
brownish-purple brown-purple
canary-yellow canary
caramel_brown caramel
copper_colored coppery
cresson cress_green
watercress cress_green
taupe fuscous
gray-blue grey-blue
greyish-blue grey-blue
grayish-blue grey-blue
gray-brown grey-brown
greyish-brown grey-brown
grayish-brown grey-brown
gray-green grey-green
greyish-green grey-green
grayish-green grey-green
gray-pink grey-pink
greyish-pink grey-pink
grayish-pink grey-pink
greenish green
light-green green
dark-green green
jade-green jade
lilac lavender
lilac-colored lavender
pale_blue light-blue
violet-blue lilac-blue
lavender-pink lilac-pink
violet-pink lilac-pink
brownish-red maroon
mosstone moss_green
mousey mousy
mouse-colored mousy
mouselike mousy
ochre ocher
drab olive-drab
orangish orange
orangish-red orange-red
peachy-colored peachy
peachy-coloured peachy
pinkish pink
pinkish-lavender pink-lavender
pinkish-orange pink-orange
salmon pink-orange
pinkish-purple pink-purple
powdery-blue powder_blue
violet purple
purplish purple
purplish-blue purple-blue
purplish-brown purple-brown
purplish-green purple-green
purplish-lilac purple-lilac
purplish-red purple-red
purple-tinted purple-tinged
reddish red
ruddy red
blood-red red
carmine red
cerise red
cherry red
cherry-red red
crimson red
ruby red
ruby-red red
scarlet red
reddish-brown red-brown
mahogany-red red-brown
reddish-lavender red-lavender
reddish-orange red-orange
flame-orange red-orange
reddisn-purple red-purple
reddish-violet red-violet
roseate rose
rosaceous rose
rose-lavender rose-lilac
rosy-purple rose-purple
rose-tinged rose-tinted
rusty rust
rust-brown rust
rusty-red rust-red
sage-green sage
silvery-blue silver-blue
silvery-green silver-green
snuff-brown snuff
mummy-brown snuff
chukker-brown snuff
brownish-orange sorrel
sulphur-yellow sulfur-yellow
tawny-brown tawny
vermillion vermilion
cinnabar vermilion
Chinese-red vermilion
violet-tinted violet-tinged
yellowish yellow
xanthous yellow
yellowish-beige yellow-beige
yellowish-orange yellow-orange
neutral achromatic
silver argent
silvery argent
silverish argent
ash-gray ash-grey
ashy ash-grey
black-gray black-grey
blackish-grey black-grey
blackish-gray black-grey
bluish-white blue-white
cool-white blue-white
blue-gray blue-grey
bluish-grey blue-grey
bluish-gray blue-grey
bluish_black blue-black
brownish-black brown-black
brown-gray brown-grey
brownish-grey brown-grey
brownish-gray brown-grey
charcoal-grey charcoal
charcoal-gray charcoal
jet coal-black
jet-black coal-black
pitchy coal-black
sooty coal-black
ebony ebon
gray grey
greyish grey
grayish grey
gray-black grey-black
greyish-black grey-black
grayish-black grey-black
gray-white grey-white
greyish-white grey-white
grayish-white grey-white
greenish-gray greenish-grey
greenish-white green-white
inky ink-black
inky-black ink-black
iron-gray iron-grey
olive-gray olive-grey
oxford-gray oxford-grey
dark-grey oxford-grey
dark-gray oxford-grey
pearl_gray pearl_grey
pearly-white pearly
purplish-black purple-black
purplish-white purple-white
red-gray red-grey
reddish-grey red-grey
reddish-gray red-grey
silver-gray silver-grey
silvery-grey silver-grey
silvery-gray silver-grey
silvery-white silver-white
slate-gray slate-grey
slaty-grey slate-grey
slaty-gray slate-grey
slaty slate-grey
slatey slate-grey
stone-grey slate-grey
stone-gray slate-grey
snowy snow-white
sooty-black soot-black
off-white whitish
yellow-gray yellow-grey
yellowish-grey yellow-grey
yellowish-gray yellow-grey
yellowish-white yellow-white
pure saturated
vivid intense
colour color
black_and_white black-and-white
coloured colored
colorful colored
red crimson
reddened crimson
red-faced crimson
flushed crimson
bicolour bicolor
bicolored bicolor
bicoloured bicolor
bichrome bicolor
dichromatic bicolor
blackened black
brightly-coloured brightly-colored
buff-coloured buff-colored
chestnut-coloured chestnut-colored
chocolate-coloured chocolate-colored
cinnamon_coloured cinnamon_colored
cinnamon-colored cinnamon_colored
cinnamon-coloured cinnamon_colored
creamy-colored cream-colored
creamy-white cream-colored
dark-coloured dark-colored
dusky-colored dark-colored
dusky-coloured dark-colored
dun-coloured dun-colored
fawn-coloured fawn-colored
flame-coloured flame-colored
flesh-coloured flesh-colored
garnet-coloured garnet-colored
gingery ginger
gold-coloured gold-colored
honey-coloured honey-colored
lead-coloured lead-colored
liver liver-colored
metal-coloured metal-colored
metallic-colored metal-colored
metallic-coloured metal-colored
monochrome monochromatic
monochromic monochromatic
monochromous monochromatic
calico motley
multicolor motley
multi-color motley
multicolour motley
multi-colour motley
multicolored motley
multi-colored motley
multicoloured motley
