dorsal abaxial
catabatic katabatic
anal_retentive anal
analog analogue
linear analogue
analytical analytic
synthetical synthetic
uninflected analytic
polysynthetic agglutinative
analytical analytic
synthetical synthetic
provoked aggravated
enraged angered
furious angered
infuriated angered
maddened angered
irascible choleric
mad huffy
sore huffy
incensed indignant
outraged indignant
umbrageous indignant
ireful irate
smouldering smoldering
wroth wrathful
wrothful wrathful
bitter acrimonious
animate sentient
insensate insentient
nonliving inanimate
non-living inanimate
alive animated
spirited enlivened
lively full_of_life
vital full_of_life
revived reanimated
anon. anonymous
unidentified nameless
unknown nameless
unnamed nameless
binominal binomial
postmortal postmortem
prior anterior
prevenient anticipatory
pre-existent preexistent
preexisting preexistent
pre-existing preexistent
consequent attendant
accompanying attendant
concomitant attendant
incidental attendant
ensuant attendant
resultant attendant
sequent attendant
ulterior later
posterior later
subaquatic semiaquatic
subaquatic subaqueous
submerged subaqueous
submersed subaqueous
underwater subaqueous
semiaquatic amphibiotic
above-named above-mentioned
prefatorial introductory
prefatory introductory
preparative preparatory
propaedeutic preparatory
old previous
consecutive back-to-back
undermentioned following
next following
unexampled new
antenatal prenatal
antepartum prenatal
postpartum postnatal
a.m. ante_meridiem
p.m. post_meridiem
hind back
hinder back
appetising appetizing
savory mouth-watering
savoury mouth-watering
unappetising unappetizing
standoffish offish
right proper
wrong improper
cod collect
collectable collectible
payable collectible
overdue delinquent
apt apposite
pertinent apposite
out_of_place inapposite
amphiprostyle amphiprostylar
amphistylar amphiprostylar
porticoed amphiprostylar
pseudoprostyle prostyle
pseudoperipteral peristylar
columnar columniform
columnlike columniform
uncolumned noncolumned
arboreous arboreal
tree-living arboreal
sandy arenaceous
sandlike arenaceous
clayey argillaceous
weaponed equipped
militarised militarized
defenceless defenseless
armoured armored
armour-clad armor-clad
armor-plated armor-clad
armour-plated armor-clad
steel-plated armor-clad
lightly_armoured lightly_armored
mailed mail-clad
unarmoured unarmored
barbellate barbed
briary barbed
briery barbed
bristled barbed
bristly barbed
burred barbed
burry barbed
prickly barbed
setose barbed
setaceous barbed
spiny barbed
thorny barbed
taloned clawed
spineless thornless
armoured armored
scaley scaly
scaled scaly
unarmoured unarmored
cunning crafty
dodgy crafty
foxy crafty
guileful crafty
knavish crafty
slick crafty
sly crafty
tricksy crafty
tricky crafty
wily crafty
precious cute
scheming designing
facile eloquent
fluent eloquent
silver eloquent
silver-tongued eloquent
smooth-spoken eloquent
unarticulate inarticulate
voiceless aphonic
mute dumb
silent dumb
tongue-tied incoherent
tongueless mute
unspoken mute
wordless mute
dumb speechless
walk-on nonspeaking
articulate articulated
disgraced discredited
dishonored discredited
shamed discredited
humiliated embarrassed
mortified embarrassed
hangdog guilty
shamefaced guilty
shamed guilty
sheepish shamefaced
barefaced audacious
bodacious audacious
bald-faced audacious
brassy audacious
brazen audacious
brazen-faced audacious
insolent audacious
unblushing shameless
unembarrassed unabashed
self-asserting assertive
self-assertive assertive
forceful emphatic
self-effacing reticent
retiring reticent
associatory associative
committed attached
betrothed bespoken
uncommitted unattached
unpledged unengaged
unpromised unengaged
pasted glued
loose unaffixed
stalkless sessile
stalked pedunculate
unattached free-swimming
separate freestanding
bondable bindable
on_one's_guard on_guard
upon_one's_guard on_guard
on_your_guard on_guard
absorbed captive
engrossed captive
enwrapped captive
intent captive
wrapped captive
heedful advertent
absentminded absent
abstracted absent
scatty absent
distrait distracted
moony dreamy
woolgathering dreamy
oscitant drowsy
yawning drowsy
oblivious forgetful
captivating bewitching
enchanting bewitching
enthralling bewitching
entrancing bewitching
fascinating bewitching
magnetic charismatic
cute cunning
piquant engaging
taking fetching
winning fetching
showy glossy
mesmeric hypnotic
mesmerizing hypnotic
spellbinding hypnotic
plain homely
unpresentable unprepossessing
catchy attention-getting
due ascribable
imputable ascribable
referable ascribable
unascribable unattributable
prenominal attributive
enceinte big
expectant big
gravid big
great big
large big
heavy big
with_child big
hearable audible
unhearable inaudible
voiceless breathed
unsounded silent
ultrasonic supersonic
transonic sonic
hopeful bright
promising bright
rosy fortunate
unfortunate inauspicious
favorable golden
favourable golden
lucky golden
prosperous golden
inauspicious ill
ominous ill
authorised authorized
commissioned accredited
licensed accredited
licenced accredited
sanctioned approved
canonised canonized
glorified canonized
sceptered empowered
sceptred empowered
unauthorised unauthorized
unlicensed unaccredited
unlicenced unaccredited
homoecious autoecious
autogenic autogenous
self-produced self-generated
heterogeneous heterogenous
self-loading autoloading
semiautomatic autoloading
machine-controlled automated
machine-driven automated
self-activating self-acting
self-moving self-acting
self-regulating self-acting
non-automatic hand-operated
getable gettable
obtainable gettable
procurable gettable
for_sale purchasable
unobtainable inaccessible
unprocurable inaccessible
untouchable inaccessible
up astir
sleepless insomniac
watchful insomniac
wide-awake unsleeping
wakeful waking
hibernating dormant
torpid dormant
drowsing drowsy
dozy drowsy
sound_asleep fast_asleep
sleepy-eyed sleepy
sleepyheaded sleepy
slumbery slumberous
slumbrous slumberous
somnolent slumberous
hemostatic styptic
cognizant aware
cognisant aware
alive alert
awake alert
incognizant unaware
unmindful oblivious
dismaying appalling
frightful atrocious
horrifying atrocious
horrible atrocious
ugly atrocious
dire awful
direful awful
dread awful
dreaded awful
dreadful awful
fearful awful
fearsome awful
frightening awful
horrendous awful
horrific awful
terrible awful
forbidding baleful
menacing baleful
minacious baleful
minatory baleful
ominous baleful
sinister baleful
threatening baleful
hair-raising bloodcurdling
nightmarish bloodcurdling
scarey chilling
scary chilling
shivery chilling
shuddery chilling
creepy-crawly creepy
redoubtable formidable
unnerving formidable
grim ghastly
grisly ghastly
gruesome ghastly
macabre ghastly
sick ghastly
terrifying terrific
soothing assuasive
consolatory comforting
consoling comforting
worrisome unreassuring
hindermost backmost
hindmost backmost
rearmost backmost
rearward rear
advanced advance
in_advance advance
frontmost foremost
head-on frontal
directional directing
directive directing
guiding directing
hardback hardbacked
hardbound hardbacked
hardcover hardbacked
razor-backed razorback
sweptback backswept
retroflex cacuminal
reversed converse
transposed converse
reverse inverse
reverse rearward
self-referent reflexive
retrograde retral
retroflexed retroflex
reversive returning
gardant guardant
full-face guardant
headlong headfirst
blate bashful
cheeky brash
nervy brash
self-assertive bumptious
impertinent fresh
impudent fresh
overbold fresh
smart fresh
saucy fresh
sassy fresh
wise fresh
assuming assumptive
presumptuous assumptive
barrelled barreled
unbarrelled unbarreled
duck-billed duckbill
short-billed short-beaked
bedded stratified
foliated foliate
foliaceous foliate
laminal laminar
superimposed layered
ferny ferned
ferny fernlike
sedgelike rushlike
bald-headed bald
bald-pated bald
smooth-faced beardless
haired hairy
hirsute hairy
hoary canescent
coarse-furred coarse-haired
comose comate
comal comate
curly-coated curly-haired
dark-coated dark-haired
pubescent downy
puberulent downy
sericeous downy
furry furred
fuzzy fuzzed
glossy-coated glossy-haired
glossy-furred glossy-haired
woolly lanate
pilose pilous
pilary pilous
tomentous tomentose
velvety-haired velvety-furred
wiry-coated wire-haired
woolly wooly
wooly-haired wooly
woolly-haired wooly
awny awned
supporting load-bearing
bonnie bonny
comely bonny
fair bonny
sightly bonny
good-looking fine-looking
better-looking fine-looking
handsome fine-looking
well-favored fine-looking
well-favoured fine-looking
resplendent glorious
splendid glorious
splendiferous glorious
monstrous grotesque
repulsive hideous
ill-favoured ill-favored
unpicturesque unlovely
great_bellied big-bellied
flat-bellied bellyless
belt-like beltlike
beltless unbelted
baneful baleful
malevolent malefic
malign malefic
evil malefic
spiteful despiteful
vindictive despiteful
catty bitchy
cattish bitchy
venomous poisonous
vicious poisonous
benignant benign
prizewinning champion
top-quality high-grade
top-grade high-grade
foremost first
world-class first
Sunday-go-to-meeting go-to-meeting
optimal optimum
unexceeded unexcelled
unsurpassed unexcelled
last-place last
lowest last
pessimum pessimal
healthier fitter
worsened worse
ameliorative ameliorating
amelioratory ameliorating
meliorative ameliorating
bifacial biface
two-faced janus-faced
round-faced moon-faced
one-sided unilateral
many-sided multilateral
two-sided bilateral
two-part bipartite
two-way bipartite
four-sided quadrilateral
four-party quadripartite
triangular trilateral
three-sided trilateral
three-party tripartite
three-way tripartite
biaural binaural
stereo stereophonic
two-channel stereophonic
monophonic mono
single-channel mono
binuclear binucleate
binucleated binucleate
mononucleate mononuclear
trinuclear trinucleate
trinucleated trinucleate
biped bipedal
two-footed bipedal
quadruped quadrupedal
four-footed quadrupedal
Afro-American african-american
coloured colored
dark colored
dark-skinned colored
non-white colored
Caucasoid caucasian
blonde blond
light-haired blond
platinum-blonde ash-blonde
towheaded ash-blonde
fairish fair
sandy flaxen
brunette brunet
suntanned bronzed
tanned bronzed
browned brown
black-haired dark-haired
brown-haired dark-haired
dusky dark-skinned
swart dark-skinned
swarthy dark-skinned
pimpled acned
pimply acned
pustulate acned
blebby blebbed
scarred marred
pockmarked pocked
unmarred unblemished
unmutilated unblemished
unstained stainless
unsullied stainless
untainted stainless
untarnished stainless
gory bloodstained
bloody-minded bloodthirsty
sanguinary bloodthirsty
red crimson
violent crimson
murderous homicidal
sanguinary gory
sanguineous gory
slaughterous gory
butcherly gory
unbloody nonviolent
brave audacious
dauntless audacious
fearless audacious
hardy audacious
intrepid audacious
unfearing audacious
temerarious daredevil
heady foolhardy
rash foolhardy
reckless foolhardy
heroical heroic
vaulting overreaching
timorous fearful
trepid fearful
mousey mousy
enchained chained
shackled fettered
rolled furled
tied trussed
unfettered unchained
unshackled unchained
untied unchained
tied laced
untied unlaced
fastened tied
unfastened untied
foul afoul
fouled afoul
intermeshed enmeshed
snarled knotty
snarly knotty
thrown_and_twisted thrown
loosened disentangled
unsnarled disentangled
paperbacked paperback
deckle-edged deckled
featheredged deckled
low-class lower-class
wage-earning propertyless
working-class propertyless
blue-collar propertyless
conservative bourgeois
materialistic bourgeois
property-owning propertied
brachycranial brachycephalic
brachycranic brachycephalic
roundheaded broad-headed
short-headed broad-headed
dolichocranial dolichocephalic
dolichocranic dolichocephalic
courageous brave
heroic desperate
gamy game
gamey game
gritty game
mettlesome game
spirited game
spunky game
stouthearted stalwart
valorous valiant
fearful cowardly
chickenhearted chicken
lily-livered chicken
white-livered chicken
yellow chicken
yellow-bellied chicken
recreant craven
dastardly dastard
fainthearted faint
timid faint
faint-hearted faint
poor-spirited pusillanimous
unmanly pusillanimous
plucky gutsy
suckled nursed
eupneic breathing
eupnoeic breathing
dyspneic breathless
dyspnoeic breathless
